allwrite 40000 80000 4 7.451
allread 40000 80000 4 0.746
allwrite 40000 80000 2 6.754
allread 40000 80000 2 0.773
collect_and_write 40000 80000 4 9.179
collect_and_write 40000 80000 2 11.050
read_distribute 40000 80000 4 12.783
read_distribute 40000 80000 2 14.176
allwrite 8000 8000 1 0.778
allread 8000 8000 1 0.102
collect_and_write 8000 8000 1 0.193
read_distribute 8000 8000 1 0.292
allwrite 16000 16000 1 1.854
allread 16000 16000 1 0.214
collect_and_write 16000 16000 1 0.789
read_distribute 16000 16000 1 1.106
allwrite 24000 24000 1 4.356
allwrite 40000 80000 1 10.330
allread 24000 24000 1 0.338
allread 40000 80000 1 0.716
collect_and_write 24000 24000 1 1.787
read_distribute 24000 24000 1 2.474
allwrite 32000 32000 1 7.657
allread 32000 32000 1 0.492
collect_and_write 40000 80000 1 9.526
collect_and_write 32000 32000 1 2.982
read_distribute 40000 80000 1 17.082
read_distribute 32000 32000 1 4.346
allwrite 40000 40000 1 11.994
allread 40000 40000 1 0.668
collect_and_write 40000 40000 1 5.490
read_distribute 40000 40000 1 7.513
allwrite 40000 80000 4 6.821
allread 40000 80000 4 0.674
allwrite 40000 80000 2 6.131
allread 40000 80000 2 0.681
collect_and_write 40000 80000 4 10.483
collect_and_write 40000 80000 2 11.059
read_distribute 40000 80000 4 13.657
read_distribute 40000 80000 2 13.995
allwrite 8000 8000 1 1.058
allread 8000 8000 1 0.102
collect_and_write 8000 8000 1 0.196
read_distribute 8000 8000 1 0.296
allwrite 16000 16000 1 2.292
allread 16000 16000 1 0.211
collect_and_write 16000 16000 1 0.780
read_distribute 16000 16000 1 1.099
allwrite 24000 24000 1 4.395
allwrite 40000 80000 1 10.917
allread 24000 24000 1 0.335
allread 40000 80000 1 0.739
collect_and_write 24000 24000 1 1.748
read_distribute 24000 24000 1 2.455
allwrite 32000 32000 1 7.979
allread 32000 32000 1 0.492
collect_and_write 40000 80000 1 9.233
read_distribute 40000 80000 1 18.317
collect_and_write 32000 32000 1 2.979
read_distribute 32000 32000 1 4.340
allwrite 40000 40000 1 11.016
allread 40000 40000 1 0.646
collect_and_write 40000 40000 1 4.989
read_distribute 40000 40000 1 7.009
allwrite 40000 80000 2 12.422
allread 40000 80000 2 0.685
allwrite 40000 80000 4 8.092
allread 40000 80000 4 0.745
collect_and_write 40000 80000 2 11.052
collect_and_write 40000 80000 4 10.931
read_distribute 40000 80000 2 14.507
read_distribute 40000 80000 4 14.483
allwrite 8000 8000 1 0.979
allread 8000 8000 1 0.102
collect_and_write 8000 8000 1 0.191
read_distribute 8000 8000 1 0.293
allwrite 16000 16000 1 2.081
allread 16000 16000 1 0.210
collect_and_write 16000 16000 1 0.779
read_distribute 16000 16000 1 1.072
allwrite 40000 80000 1 15.260
allread 40000 80000 1 0.758
allwrite 24000 24000 1 6.871
allread 24000 24000 1 0.340
collect_and_write 24000 24000 1 1.736
read_distribute 24000 24000 1 2.443
allwrite 32000 32000 1 11.762
allread 32000 32000 1 0.481
collect_and_write 40000 80000 1 11.167
read_distribute 40000 80000 1 13.966
collect_and_write 32000 32000 1 2.984
read_distribute 32000 32000 1 4.307
allwrite 40000 40000 1 12.341
allread 40000 40000 1 0.654
collect_and_write 40000 40000 1 4.912
read_distribute 40000 40000 1 8.770
allwrite 40000 80000 4 7.104
allread 40000 80000 4 0.676
allwrite 40000 80000 2 6.814
allread 40000 80000 2 0.741
collect_and_write 40000 80000 4 10.789
collect_and_write 40000 80000 2 11.292
read_distribute 40000 80000 4 13.813
read_distribute 40000 80000 2 17.044
allwrite 8000 8000 1 0.858
allread 8000 8000 1 0.101
collect_and_write 8000 8000 1 0.184
read_distribute 8000 8000 1 0.293
allwrite 16000 16000 1 1.813
allread 16000 16000 1 0.212
collect_and_write 16000 16000 1 0.773
read_distribute 16000 16000 1 1.100
allwrite 40000 80000 1 13.854
allread 40000 80000 1 0.768
allwrite 24000 24000 1 7.565
allread 24000 24000 1 0.340
collect_and_write 24000 24000 1 1.732
read_distribute 24000 24000 1 2.466
allwrite 32000 32000 1 8.003
allread 32000 32000 1 0.495
collect_and_write 40000 80000 1 10.852
read_distribute 40000 80000 1 14.444
collect_and_write 32000 32000 1 3.058
read_distribute 32000 32000 1 4.349
allwrite 40000 40000 1 21.496
allread 40000 40000 1 0.667
collect_and_write 40000 40000 1 5.649
read_distribute 40000 40000 1 7.362
allwrite 40000 80000 1 15.551
allread 40000 80000 1 0.657
collect_and_write 40000 80000 1 8.868
read_distribute 40000 80000 1 11.707
allwrite 50000 80000 1 20.452
allread 50000 80000 1 0.920
collect_and_write 50000 80000 1 13.009
read_distribute 50000 80000 1 26.310
allwrite 50000 80000 4 11.336
allread 50000 80000 4 0.860
allwrite 50000 80000 2 9.599
allread 50000 80000 2 1.079
collect_and_write 50000 80000 4 10.893
read_distribute 50000 80000 4 18.077
collect_and_write 50000 80000 2 13.754
read_distribute 50000 80000 2 22.376
allwrite 50000 80000 1 16.943
allread 50000 80000 1 0.956
allwrite 40000 80000 1 11.204
allread 40000 80000 1 0.724
collect_and_write 50000 80000 1 13.254
read_distribute 50000 80000 1 25.612
collect_and_write 40000 80000 1 11.142
read_distribute 40000 80000 1 15.531
allwrite 50000 80000 2 16.647
allread 50000 80000 2 0.964
allwrite 50000 80000 1 25.367
allread 50000 80000 1 0.839
collect_and_write 50000 80000 2 14.288
collect_and_write 50000 80000 1 11.444
read_distribute 50000 80000 1 18.189
read_distribute 50000 80000 2 28.896
allwrite 50000 80000 4 8.934
allread 50000 80000 4 0.833
collect_and_write 50000 80000 4 11.318
read_distribute 50000 80000 4 17.858
allwrite 50000 80000 1 25.484
allread 50000 80000 1 0.930
allwrite 40000 80000 1 16.016
allread 40000 80000 1 0.731
collect_and_write 50000 80000 1 14.145
read_distribute 50000 80000 1 23.909
collect_and_write 40000 80000 1 10.301
read_distribute 40000 80000 1 16.173
allwrite 50000 80000 1 12.158
allread 50000 80000 1 0.814
collect_and_write 50000 80000 1 12.824
read_distribute 50000 80000 1 18.834
