           kB  reclen    write  rewrite    read    reread
         8388608    1024   115853   117373  1363273  1418232                                                                                  
        67108864    1024    71162    73124   169536   190550                                                                                  
       134217728    1024    68384    73096   175544   177409                                                                                  
       157286400    1024    64371    80481   225170   222052                                                                                  
